date,sentiment,
05-16-2016,230.3591975,
01-03-2015,314.166817995,
01-03-2016,733.197220962,
10-02-2014,469.985531353,
10-02-2015,226.967582609,
03-14-2016,328.425767077,
03-14-2015,180.489617237,
03-16-2015,759.254819765,
06-23-2015,73.1836490463,
03-16-2016,311.684049893,
07-01-2015,190.670731545,
09-25-2015,344.88857729,
09-25-2014,-40.5021041731,
06-15-2015,329.69104866,
05-22-2015,1056.51677631,
07-16-2015,711.340933399,
01-04-2015,571.898568153,
01-04-2016,667.633119071,
04-09-2015,119.472936959,
05-19-2016,58.0366498026,
05-19-2015,322.438604605,
02-18-2016,166.32338473,
02-18-2015,705.869899767,
03-04-2016,242.475471069,
02-22-2016,-1.45157248089,
02-22-2015,1005.48679404,
11-03-2015,1226.53340454,
03-11-2015,1161.05697239,
02-17-2016,138.052039982,
02-17-2015,438.955136922,
04-10-2015,507.663933024,
04-10-2016,144.578515723,
04-16-2016,170.022850483,
08-12-2015,536.552151092,
02-28-2015,-141.80851077,
12-07-2015,-158.321586843,
12-07-2014,373.215202687,
03-12-2015,768.124224417,
09-22-2015,362.201147329,
04-16-2015,285.567257689,
12-27-2015,-174.819837997,
12-27-2014,1079.77289295,
04-14-2016,218.915030564,
09-16-2015,445.510002303,
11-07-2015,436.201834547,
10-03-2015,228.740177433,
10-03-2014,530.8622759,
11-01-2014,552.841006797,
11-01-2015,354.242649608,
03-06-2016,225.233468003,
09-09-2014,1300.13766819,
02-19-2015,403.377436205,
02-19-2016,651.361765098,
02-10-2016,320.343225872,
09-05-2015,118.899608751,
09-05-2014,543.683051306,
09-21-2015,456.473044863,
09-21-2014,350.872884382,
05-13-2015,331.759849254,
05-13-2016,215.938073379,
08-19-2015,302.476418419,
03-25-2015,1153.56040713,
10-11-2014,193.111233719,
02-21-2016,77.2678314886,
10-18-2014,396.535556302,
09-10-2014,992.033150611,
01-20-2016,20.4149649877,
01-20-2015,1161.19451583,
07-30-2015,-4.81009912785,
07-05-2015,916.465638083,
09-08-2014,519.832194284,
09-08-2015,285.319714756,
06-10-2015,538.722365152,
02-20-2015,901.651243251,
02-20-2016,244.60778725,
04-09-2016,195.205762142,
09-18-2015,57.1149562014,
09-18-2014,1029.80604305,
10-19-2014,212.203455239,
10-19-2015,174.502095087,
01-28-2016,232.817878217,
11-23-2015,224.130913094,
12-05-2015,170.832544958,
01-28-2015,692.563699346,
12-08-2014,597.396536701,
12-08-2015,413.185033069,
02-21-2015,395.388521072,
08-28-2015,240.644935341,
06-29-2015,381.952243722,
01-02-2016,125.754979428,
12-11-2014,1246.95330713,
12-11-2015,337.279519989,
07-26-2015,274.833198794,
08-29-2014,865.919870707,
05-01-2016,89.2697147447,
05-01-2015,-564.844190896,
11-08-2014,362.752145698,
12-25-2015,224.558711982,
12-25-2014,598.892431814,
10-25-2014,453.867707553,
11-05-2014,1512.30711634,
11-05-2015,1033.94302481,
03-02-2016,303.764272325,
08-25-2014,231.348232189,
08-25-2015,535.11309903,
04-06-2016,299.911367857,
04-06-2015,245.573555426,
12-22-2014,605.7124442,
12-22-2015,292.62840766,
11-29-2014,450.116355843,
04-15-2016,230.913870285,
04-15-2015,532.017398401,
10-18-2015,381.733748352,
09-24-2015,141.869840674,
07-04-2015,507.020765269,
08-30-2014,155.193570453,
08-30-2015,579.558075524,
02-03-2016,447.135898642,
11-08-2015,525.415779464,
02-03-2015,416.557223862,
10-29-2015,209.524795147,
10-29-2014,428.966582573,
06-01-2015,285.125676611,
12-02-2014,806.999580415,
12-02-2015,568.089886887,
04-18-2015,308.14845425,
04-18-2016,31.3378564102,
04-08-2015,-306.730191096,
08-03-2015,414.352256497,
04-08-2016,162.929397931,
01-07-2015,990.572590829,
11-03-2014,266.750048367,
12-16-2015,325.094079855,
01-07-2016,325.096557994,
09-24-2014,446.367174917,
03-04-2015,535.157435439,
01-27-2016,472.735020949,
01-27-2015,605.671318536,
08-09-2015,279.497276374,
08-10-2015,427.922078733,
10-17-2014,110.56561252,
10-17-2015,146.460459492,
10-26-2014,178.489197696,
10-26-2015,212.181015125,
02-07-2016,223.157294218,
02-07-2015,583.754641327,
02-25-2015,544.532025216,
03-03-2016,252.539152111,
11-04-2015,1372.21305465,
11-04-2014,815.691045622,
02-01-2015,460.871515561,
02-01-2016,-160.583208348,
07-14-2015,150.023943374,
04-28-2016,108.512188822,
04-28-2015,369.218126394,
12-21-2014,456.380533088,
08-22-2015,133.275021311,
05-05-2016,-116.19016096,
05-05-2015,346.450430462,
07-19-2015,484.379295003,
02-06-2016,166.486097714,
10-13-2014,558.016712538,
10-13-2015,62.4901069709,
12-14-2015,181.916449952,
10-15-2015,944.864571051,
09-28-2014,255.041307652,
09-28-2015,336.632373371,
08-17-2015,96.4065616292,
06-30-2015,374.294107725,
09-26-2014,-847.682238616,
09-26-2015,-76.6737850956,
07-06-2015,197.608742295,
03-21-2015,319.196687976,
11-22-2014,531.009901523,
05-11-2016,194.098633545,
03-19-2015,461.629996914,
03-19-2016,61.9429690583,
05-11-2015,323.266557156,
05-08-2015,151.247350541,
05-08-2016,107.106085931,
07-29-2015,286.522843723,
06-02-2015,306.072083984,
01-05-2016,151.351804179,
01-05-2015,383.000001028,
03-26-2015,496.064394483,
01-08-2015,360.200468297,
01-08-2016,454.604903381,
09-11-2014,879.425530801,
09-11-2015,114.741801098,
01-11-2016,57.0878895552,
01-11-2015,542.291725339,
10-22-2014,540.081783589,
07-10-2015,1009.16677934,
12-16-2014,1002.9112054,
12-13-2014,1123.05591707,
12-13-2015,278.943067643,
07-09-2015,995.904956954,
05-14-2016,119.325444555,
01-25-2015,658.798743634,
07-24-2015,331.384890178,
01-25-2016,586.669039345,
09-29-2015,-10.710516217,
02-05-2015,158.475679265,
02-05-2016,172.803119314,
11-13-2015,422.942768811,
11-13-2014,955.587727223,
11-11-2015,212.027112681,
06-09-2015,929.084343614,
04-23-2016,112.599764744,
01-22-2015,-18.8785938601,
01-22-2016,86.7422283988,
04-23-2015,698.984673829,
12-10-2015,249.951842756,
03-18-2016,291.181855922,
03-18-2015,422.649875589,
09-13-2014,969.125689113,
09-13-2015,303.435266699,
08-21-2015,290.927133903,
10-21-2014,804.348577812,
02-08-2016,150.08193241,
02-08-2015,403.566878951,
09-10-2015,580.880737245,
10-11-2015,249.91425106,
03-29-2016,85.6952047371,
03-29-2015,300.690038211,
11-28-2015,157.178814676,
11-28-2014,571.70071304,
03-31-2015,142.04179093,
07-12-2015,464.977399312,
01-02-2015,677.570304163,
06-06-2015,258.406455471,
05-31-2015,-131.564239799,
07-23-2015,659.155050226,
06-13-2015,355.001898586,
12-21-2015,414.376038344,
01-16-2016,428.687569339,
01-16-2015,306.784332812,
07-17-2015,632.37550847,
11-15-2015,207.43111501,
11-15-2014,406.78838525,
01-26-2016,582.369290234,
03-17-2016,188.213458953,
03-17-2015,623.159566426,
03-26-2016,143.823372736,
11-25-2014,716.755882148,
11-25-2015,176.688274878,
06-25-2015,996.555611302,
06-14-2015,390.834996121,
02-04-2016,137.812181161,
02-04-2015,-336.944083733,
04-01-2016,204.446847953,
04-01-2015,565.506341195,
05-27-2015,597.175506114,
09-15-2014,787.99143628,
09-15-2015,167.504660098,
09-23-2015,561.90772428,
08-05-2015,326.896443007,
03-03-2015,738.408637063,
05-02-2016,-828.086502909,
05-02-2015,356.024505087,
04-24-2016,306.848182316,
04-24-2015,467.724251382,
06-04-2015,307.942336963,
03-13-2016,161.152559794,
03-13-2015,474.777035617,
05-21-2015,691.133942986,
05-21-2016,89.6924749482,
10-10-2015,262.516781171,
10-10-2014,-59.5626614895,
01-14-2015,1532.1598824,
03-15-2015,119.233927123,
03-15-2016,253.301141455,
01-14-2016,-3100.0171499676,
04-17-2016,229.515375192,
12-15-2014,378.441257136,
12-15-2015,499.562124223,
04-03-2015,382.648433298,
04-03-2016,27.1269887495,
03-22-2016,146.052496725,
11-07-2014,171.266686922,
09-16-2014,502.692533567,
03-22-2015,279.100938853,
11-09-2014,677.326037242,
11-09-2015,57.2053640408,
12-23-2015,-1205.56135344,
12-23-2014,251.609177984,
04-26-2015,-33.6103780963,
09-22-2014,874.384078922,
04-26-2016,249.108250854,
09-17-2014,567.579054786,
09-17-2015,258.351436874,
06-03-2015,423.295946311,
01-13-2015,885.203976816,
01-13-2016,432.447829938,
10-24-2014,360.735009913,
10-24-2015,-13.6620529781,
03-06-2015,1639.88200525,
07-31-2015,460.109270988,
02-13-2016,247.947557216,
02-13-2015,184.2308412,
02-11-2015,255.255886557,
02-11-2016,207.452659133,
07-08-2015,1052.03883244,
08-15-2015,198.258680697,
03-23-2015,569.012963984,
04-05-2016,203.969905972,
05-04-2015,312.670242627,
01-10-2015,429.462983589,
04-11-2015,281.570706598,
01-10-2016,333.584951105,
10-27-2015,231.107166246,
10-27-2014,359.874717792,
04-21-2015,192.95964476,
04-21-2016,371.568658604,
06-22-2015,356.364405431,
11-30-2014,374.766592987,
11-30-2015,299.824880031,
03-11-2016,110.591073947,
08-18-2015,665.139628332,
10-07-2015,362.544344006,
10-07-2014,948.142402002,
10-05-2015,197.556070731,
10-05-2014,889.190209791,
02-28-2016,-11.997183893,
09-23-2014,563.566906526,
09-27-2014,321.775923712,
12-24-2014,148.718178689,
12-24-2015,623.824882566,
12-19-2014,437.736269486,
12-19-2015,239.897090967,
03-12-2016,292.770494834,
12-31-2014,477.584295109,
12-31-2015,352.582425831,
12-17-2014,886.020595051,
12-17-2015,346.480034454,
04-22-2015,327.586167729,
08-29-2015,118.183013289,
10-25-2015,309.996240839,
04-22-2016,91.6343326839,
01-21-2015,146.608785151,
01-21-2016,500.856280249,
02-15-2015,247.468765234,
02-15-2016,58.2997044452,
08-23-2015,18.5887410177,
11-14-2014,583.157520081,
02-25-2016,606.631728377,
10-08-2014,713.575238003,
10-08-2015,277.198773855,
04-07-2015,1010.00771203,
04-07-2016,471.247349624,
08-11-2015,417.46775969,
09-19-2014,396.410084116,
10-01-2015,96.579017091,
10-01-2014,430.368292129,
08-26-2015,729.813385603,
08-26-2014,494.032004508,
06-19-2015,258.609579589,
08-07-2015,624.170603461,
01-18-2015,294.453042081,
12-18-2015,-102.51105407,
12-18-2014,427.413776949,
10-31-2014,858.863289696,
10-31-2015,332.792266635,
12-26-2014,187.849766122,
12-26-2015,-563.731768292,
03-10-2016,91.2526526113,
03-10-2015,430.938173397,
07-21-2015,769.900841631,
09-06-2014,335.894021394,
09-06-2015,-454.288083547,
01-15-2016,555.550339589,
01-15-2015,648.948305637,
10-15-2014,1350.53975158,
12-14-2014,747.047743789,
06-20-2015,489.081996338,
05-12-2016,208.071258569,
05-12-2015,340.068551531,
01-23-2016,374.395170775,
02-09-2016,149.398219744,
08-13-2015,206.063902394,
05-29-2015,478.270340816,
10-28-2015,156.682701957,
12-29-2015,218.47731337,
12-29-2014,171.025352379,
06-27-2015,383.925036551,
06-16-2015,748.449206512,
04-27-2016,131.058462128,
07-15-2015,673.228439397,
04-27-2015,225.966237919,
05-09-2016,196.053925537,
05-09-2015,312.737631483,
08-16-2015,330.984035006,
11-27-2014,-72.7146168156,
11-27-2015,205.444857365,
03-24-2016,282.393998239,
07-02-2015,464.112892098,
12-06-2014,228.637973937,
12-06-2015,225.817635792,
05-23-2015,318.699642385,
02-09-2015,579.482081863,
01-23-2015,1084.30819449,
12-09-2015,168.74348956,
12-09-2014,952.067954902,
05-07-2015,769.567472761,
12-12-2015,438.609878524,
05-07-2016,-6.29978025378,
11-24-2015,-54.1492568419,
11-24-2014,1379.31362645,
07-25-2015,182.422971772,
03-27-2016,112.142689177,
03-20-2015,-90.079185941,
09-01-2015,359.180516084,
09-01-2014,273.455919441,
10-28-2014,511.656601334,
03-07-2016,-6.64902029126,
03-07-2015,250.595588862,
11-02-2015,585.92010619,
11-02-2014,569.243089673,
03-05-2016,327.77243374,
01-24-2016,311.228606489,
03-01-2015,872.467920285,
01-24-2015,534.036605727,
01-19-2016,202.344129453,
01-19-2015,760.200695124,
03-27-2015,69.0885374754,
05-18-2015,459.855200721,
01-31-2015,121.652374809,
01-31-2016,76.8022347082,
05-18-2016,100.633392521,
01-17-2015,353.604525237,
01-17-2016,160.085458955,
03-25-2016,1271.73398782,
11-26-2015,285.182220977,
11-26-2014,414.845920014,
02-12-2016,564.787435358,
11-10-2014,1154.55710943,
11-10-2015,270.211940075,
03-08-2016,138.75382695,
03-08-2015,230.6995679,
07-27-2015,878.955759696,
09-03-2015,396.559566372,
09-03-2014,117.180400547,
04-25-2015,211.927344527,
04-25-2016,613.551640189,
07-22-2015,865.800220249,
11-06-2015,851.476464106,
11-06-2014,970.415139884,
03-01-2016,-78.7572189092,
10-21-2015,200.631378642,
11-29-2015,112.540102156,
03-31-2016,89.1666147583,
01-18-2016,218.055275069,
01-26-2015,587.72675789,
09-09-2015,602.298988635,
11-14-2015,-134.382721086,
06-07-2015,227.812204414,
11-12-2014,245.831434726,
11-12-2015,245.740756482,
04-05-2015,1555.63202388,
09-30-2015,-76.2931076724,
09-30-2014,1411.61686398,
05-15-2016,224.026494605,
04-29-2015,576.124049445,
04-29-2016,474.674014033,
05-15-2015,923.348942749,
04-11-2016,38.5526648521,
05-04-2016,331.129992987,
09-04-2014,538.626501548,
09-04-2015,362.141674337,
08-24-2015,245.548975279,
10-22-2015,1525.64649031,
12-01-2015,402.837747978,
12-01-2014,1106.97189075,
05-20-2016,379.427207907,
02-23-2015,660.870137431,
03-23-2016,8.81360176996,
02-23-2016,199.444193893,
03-24-2015,640.16275074,
03-28-2015,712.668137255,
03-28-2016,252.238855512,
01-29-2015,-193.909134856,
01-29-2016,709.52180075,
09-07-2015,246.471854261,
09-07-2014,356.993156364,
05-28-2015,473.214055521,
07-28-2015,494.210382404,
02-27-2015,436.274538066,
02-27-2016,104.29511987,
01-06-2016,241.319702966,
12-10-2014,355.567540687,
01-06-2015,440.031227088,
12-30-2015,288.643207081,
12-30-2014,356.340893771,
04-13-2015,368.328384715,
04-13-2016,115.861405602,
10-23-2015,331.615338193,
01-09-2016,429.952342522,
01-09-2015,586.05313513,
01-12-2016,185.094331195,
01-12-2015,536.167820535,
07-13-2015,290.855596992,
10-09-2015,108.932474848,
10-09-2014,707.926354418,
02-24-2016,175.743573299,
06-24-2015,107.2621221,
06-08-2015,631.779713707,
11-16-2014,216.432223622,
11-16-2015,284.713488292,
10-23-2014,537.45790732,
11-23-2014,790.037258047,
02-02-2015,630.807872951,
04-19-2016,267.650291674,
04-19-2015,283.758540093,
02-02-2016,255.958171247,
03-20-2016,-33.9306147914,
12-05-2014,278.065457001,
08-02-2015,458.682473093,
09-12-2015,102.69166722,
09-12-2014,-600.249772601,
04-20-2016,101.4812661,
04-20-2015,446.726786667,
02-26-2016,441.645786303,
02-26-2015,540.72863729,
10-30-2015,187.865725047,
10-30-2014,400.747359416,
04-14-2015,314.075703502,
07-18-2015,348.190117158,
12-03-2015,91.974685949,
12-03-2014,556.252198495,
02-10-2015,661.014782342,
08-20-2015,915.543191983,
02-24-2015,789.034902978,
10-14-2015,193.077035029,
10-14-2014,341.094402904,
10-16-2015,239.269417738,
10-16-2014,500.347650384,
09-14-2015,440.240819484,
09-14-2014,286.324116365,
06-12-2015,351.504209183,
05-24-2015,449.391389735,
12-04-2014,-39.3688790881,
12-04-2015,274.092822736,
08-28-2014,696.52848175,
04-17-2015,683.355791812,
08-14-2015,146.35985351,
09-02-2014,525.369483932,
09-02-2015,205.4637866,
02-06-2015,1063.01464148,
11-18-2014,791.790546846,
11-18-2015,222.395939576,
02-29-2016,284.093345114,
03-21-2016,144.130255599,
11-22-2015,688.065316014,
10-04-2015,157.872575818,
02-14-2016,255.813869565,
02-14-2015,446.071755473,
05-14-2015,485.914566802,
06-26-2015,557.531949612,
11-17-2015,-35.9532850469,
11-17-2014,52.5947663903,
02-12-2015,555.493660456,
06-17-2015,577.738751841,
07-07-2015,139.466528512,
09-20-2014,302.848075707,
09-20-2015,501.488326731,
08-31-2015,64.6244649787,
08-31-2014,-78.5988155855,
12-12-2014,1372.75996814,
05-26-2015,606.075954514,
08-06-2015,448.90799093,
10-12-2015,-58.1619483707,
10-12-2014,940.534488878,
11-21-2014,596.74928058,
11-21-2015,161.637779901,
01-01-2016,355.406883571,
01-01-2015,247.384734999,
05-25-2015,294.768774118,
09-29-2014,-713.0516982,
05-17-2015,275.081740433,
05-17-2016,260.279657068,
06-18-2015,388.513417431,
10-06-2014,446.796316069,
10-06-2015,708.132853651,
04-02-2016,322.321311554,
04-02-2015,955.744092856,
09-19-2015,191.357551391,
11-19-2015,105.60544664,
11-19-2014,280.74162709,
08-08-2015,538.908037381,
11-11-2014,867.744040564,
05-06-2016,152.651499176,
05-06-2015,-122.731160784,
06-11-2015,421.785908495,
12-20-2014,511.888474932,
12-20-2015,348.835027207,
04-04-2015,420.685822131,
01-30-2016,205.346820983,
01-30-2015,456.630742092,
04-04-2016,114.331828076,
08-04-2015,196.449917111,
06-21-2015,393.46984713,
05-16-2015,374.483552502,
10-04-2014,363.674379009,
11-20-2015,75.0623375963,
11-20-2014,-41.9853239653,
05-20-2015,481.773867358,
06-05-2015,1134.30024371,
04-12-2016,-165.066019717,
07-20-2015,248.018259738,
04-12-2015,250.183603581,
03-09-2015,589.457511998,
07-03-2015,364.535086835,
03-09-2016,159.279605253,
09-27-2015,100.264279193,
08-01-2015,105.968293869,
05-03-2015,226.856303843,
05-03-2016,81.1897470069,
07-11-2015,46.9954240392,
02-16-2015,371.457059135,
02-16-2016,287.895172657,
03-02-2015,1353.99410326,
06-28-2015,258.846224075,
05-30-2015,27.2984262499,
10-20-2014,214.867124933,
10-20-2015,125.200847629,
12-28-2014,612.3748123,
12-28-2015,-61.6186303815,
03-30-2016,255.571309413,
04-30-2016,57.6034468271,
04-30-2015,103.719407868,
05-10-2015,303.750991896,
05-10-2016,265.501479875,
03-30-2015,409.43454193,
03-05-2015,576.002797167,
08-27-2014,614.620801763,
08-27-2015,611.514975407,
